programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-94.93683242797852,-15424.0,4364.0,-1912.0,115.0,-69.0,-35.0,0.9999278136798322,0.010124754236125985,-0.005703439264022533,-0.003054105710421757
-94.96034002304077,-15388.0,4568.0,-2104.0,106.0,-44.0,-46.0,0.9997428722879198,0.01948021442049909,-0.009214214462389847,-0.007057535509817028
-94.98386549949646,-15448.0,4564.0,-2080.0,100.0,-64.0,-35.0,0.9994433429676051,0.028289225497686508,-0.014483918891556558,-0.010145935739108882
-95.00738954544067,-15412.0,4596.0,-1800.0,115.0,-29.0,-71.0,0.9989885187060721,0.03848034514410591,-0.01662422038777491,-0.01627383874619069
-95.03088736534119,-15372.0,4536.0,-2052.0,137.0,-44.0,-58.0,0.9982917026991601,0.05054273526450295,-0.020144481735293093,-0.02129103307992461
-95.05442595481873,-15420.0,4552.0,-2052.0,146.0,-21.0,-72.0,0.9973744289896258,0.06344738299426562,-0.021612930145188117,-0.02741458077987524
-95.07796692848206,-15408.0,4548.0,-2176.0,129.0,-23.0,-95.0,0.9962885478055054,0.07489939434529641,-0.023083904457410053,-0.03558572176177313
-95.10146021842957,-15384.0,4560.0,-1988.0,125.0,-52.0,-54.0,0.9951165549200132,0.08581820951046266,-0.0273281187719598,-0.04039122386024306
-95.12494540214539,-15460.0,4564.0,-2144.0,123.0,-35.0,-98.0,0.9936651310833404,0.09671337174604545,-0.02975561481904752,-0.04889513658207448
-95.14847230911255,-15376.0,4596.0,-2296.0,147.0,-62.0,-55.0,0.9919172889737551,0.10944467251588297,-0.03498475862128908,-0.05383328112847595
-95.172039270401,-15400.0,4564.0,-2056.0,98.0,-72.0,-44.0,0.9904880451247464,0.11783509600478088,-0.040949245217928615,-0.05806446357785776
-95.1955099105835,-15412.0,4544.0,-2056.0,140.0,-27.0,-134.0,0.9881232498558491,0.13037949757176528,-0.042303884319529445,-0.0694551011713981
-95.21905994415283,-15404.0,4460.0,-2140.0,111.0,-39.0,-43.0,0.9863899934602748,0.1399883057399,-0.045545012670643585,-0.0732373325452416
-95.24259281158447,-15460.0,4512.0,-2300.0,123.0,-41.0,-67.0,0.9842081631499909,0.15069438497868096,-0.04873706346872724,-0.07905815940978578
