programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-1134.6059951782227,4780.0,-4120.0,-15040.0,-88.0,99.0,82.0,0.9999080537245622,-0.007894172187722792,0.008388645299833348,0.007155191979427803
-1134.621589422226,4844.0,-3924.0,-15064.0,-198.0,146.0,83.0,0.999356112911295,-0.025415085113704057,0.020810519913349073,0.014434517533545528
-1134.6371734142303,4920.0,-4072.0,-15104.0,-77.0,88.0,63.0,0.9988777374931955,-0.032368199997218,0.028303568156986335,0.019861349375044246
-1134.652762889862,5056.0,-3900.0,-15028.0,-114.0,169.0,169.0,0.9975786875362957,-0.04241505192651736,0.043083247044111476,0.034373818053407834
-1134.6683497428894,4832.0,-3992.0,-15172.0,-100.0,230.0,245.0,0.9951427847641682,-0.05113345035184986,0.06349173078430706,0.05518159393262094
-1134.6839759349823,4728.0,-4076.0,-15052.0,-32.0,90.0,-92.0,0.9948746595793783,-0.055137993216191034,0.07057660524868063,0.04693779098423215
-1134.6995842456818,4856.0,-3988.0,-15060.0,-87.0,79.0,-232.0,0.9946574780252636,-0.0647165421741212,0.0757882769997389,0.026914822066257962
-1134.7151794433594,4980.0,-4084.0,-14960.0,-32.0,62.0,-142.0,0.9942968686358393,-0.0688683953859864,0.08014378872930024,0.014417151800457322
-1134.730800628662,5060.0,-4028.0,-14968.0,-90.0,139.0,-6.0,0.9926773139527884,-0.07718535815768857,0.09191134378938129,0.013655611754040536
-1134.7464091777802,4912.0,-4024.0,-15064.0,-46.0,91.0,-27.0,0.9916135123316787,-0.08180077160408374,0.09944598923946206,0.01103499661954593
-1134.7620105743408,4972.0,-4040.0,-15200.0,-142.0,82.0,-215.0,0.9897993164128985,-0.09631889137948298,0.1047450831376571,-0.006960743528607651
-1134.777568101883,4972.0,-4316.0,-15172.0,-49.0,136.0,100.0,0.9880660357873097,-0.09986008113119015,0.11727142975599938,0.0009406822028959787
-1134.793214559555,4820.0,-3864.0,-15056.0,-83.0,54.0,-105.0,0.9866924626901298,-0.10840687919737726,0.12093568414834172,-0.007777718993701698
-1134.8087859153748,4636.0,-4140.0,-15084.0,-19.0,-56.0,-350.0,0.9863590960599197,-0.11404225392924226,0.11271854778841696,-0.03721057541972292
-1134.8243880271912,5152.0,-3804.0,-15036.0,-132.0,59.0,-254.0,0.9832849924203981,-0.1279869299862374,0.11558952812224581,-0.05838690282924716
-1134.840005159378,5068.0,-4060.0,-15016.0,-185.0,268.0,353.0,0.9794155371670907,-0.13913322078678036,0.14329038023567364,-0.029240714100590464
-1134.8555617332458,4640.0,-4156.0,-15028.0,-22.0,51.0,219.0,0.9788347131483766,-0.13844129025585744,0.15032478285918194,-0.010912064257902329
-1134.8711392879486,4852.0,-3904.0,-15088.0,-134.0,-6.0,-352.0,0.9763810179925283,-0.15474881188247905,0.14559498957002082,-0.03917922838623343
-1134.8867177963257,5084.0,-4064.0,-14852.0,-85.0,63.0,-251.0,0.9732459622146818,-0.16523904006987017,0.14779683625680287,-0.06036929568982599
-1134.9022932052612,5028.0,-3960.0,-15072.0,-121.0,128.0,48.0,0.9699221175948229,-0.1745211765931911,0.15996191951164607,-0.0566182746739302
-1134.9178984165192,4888.0,-4036.0,-15172.0,-64.0,100.0,34.0,0.9676008675663645,-0.17927945840461357,0.16925238326398506,-0.054415692942642695
-1134.9335644245148,4764.0,-3956.0,-15104.0,-114.0,10.0,-213.0,0.9643740829806572,-0.19227978901240922,0.16728193627078974,-0.07090743691641258
-1134.9492211341858,4868.0,-4156.0,-15312.0,-27.0,-22.0,-284.0,0.9621126763289646,-0.19909020639180255,0.16079307539819457,-0.09406314193124325
-1134.9648489952087,5036.0,-3904.0,-15056.0,-144.0,61.0,-180.0,0.9569943028373695,-0.21347705023308627,0.16393321488496682,-0.1082374908156907
-1134.980481147766,4992.0,-4076.0,-15028.0,-75.0,84.0,-41.0,0.953876958988635,-0.21983874725567196,0.17088796378151203,-0.11219169376678112
-1134.996125459671,4864.0,-3920.0,-15356.0,-58.0,21.0,-231.0,0.9498981852996917,-0.22817183249771328,0.16875208555449192,-0.13097246290727532
-1135.0117542743683,4992.0,-4064.0,-15024.0,-23.0,17.0,-499.0,0.942502171405919,-0.23732163877733253,0.16034524823643298,-0.1722135245303514
-1135.0273599624634,5068.0,-3864.0,-15160.0,-120.0,73.0,-95.0,0.9373743294909593,-0.24771109683118597,0.1661727418738094,-0.17987550910617417
-1135.0429546833038,4940.0,-4020.0,-15356.0,-45.0,133.0,86.0,0.9356337307173529,-0.24834548892514532,0.17961474564902893,-0.17507879146228103
-1135.0585870742798,4828.0,-3968.0,-15172.0,-105.0,61.0,-198.0,0.929087197462489,-0.2593480252728937,0.18189700871443454,-0.19091636786585237
