programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-2507.2523427009583,3672.0,-2516.0,16040.0,1004.0,-2148.0,-1495.0,0.9713300594371356,0.08492241778186271,-0.1823386512080509,-0.1267229847642575
-2507.26797747612,3572.0,-2332.0,15912.0,1267.0,-2089.0,-1299.0,0.888881646781104,0.18433063039434353,-0.35354088810014,-0.22565566058820835
-2507.283548593521,3652.0,-2088.0,15860.0,1041.0,-1892.0,-1692.0,0.7591014084478022,0.2721891558620536,-0.47991351129587095,-0.34548681132473585
-2507.2991359233856,3812.0,-1976.0,16284.0,1204.0,-1447.0,-1696.0,0.6042631233955946,0.37032106953541744,-0.5582196301498765,-0.43141537719195855
-2507.31477022171,3776.0,-1712.0,16740.0,1454.0,-861.0,-1661.0,0.4434807530880849,0.4851837924981042,-0.592100683237682,-0.4661955491497658
-2507.3303666114807,3688.0,-1396.0,17024.0,1806.0,-346.0,-1597.0,0.2779893202476517,0.6098807105368961,-0.5979533686512305,-0.4395670889203435
-2507.345980644226,3776.0,-1352.0,16788.0,2132.0,-80.0,-1509.0,0.09989465699339996,0.7188220323804412,-0.5862910012919723,-0.3599705613972893
-2507.361571788788,3856.0,-1532.0,16496.0,2522.0,-1.0,-1275.0,-0.09558824333975666,0.7825683890952838,-0.5684992574740665,-0.23507062422911731
-2507.3771846294403,3680.0,-1712.0,16380.0,2739.0,151.0,-505.0,-0.2774761434802274,0.7655044066404563,-0.5746723679732498,-0.08222932993403864
-2507.392765522003,3552.0,-1580.0,16000.0,2792.0,147.0,464.0,-0.4401139897953027,0.6558686555035644,-0.6108485421639628,0.0547726323136703
-2507.4239616394043,4288.0,-304.0,16012.0,2274.0,77.0,917.0,-0.5579886412360527,0.5077049496857922,-0.6408715300243217,0.14201423280916559
-2507.439548254013,4516.0,8.0,16332.0,1916.0,-113.0,657.0,-0.6473623740421437,0.37318893648590845,-0.6308568157455138,0.2089776360916814
-2507.4551026821136,4704.0,720.0,16892.0,1782.0,-383.0,92.0,-0.7191842135060954,0.27095689947368695,-0.5723940851783833,0.2858696152514756
-2507.4706876277924,4976.0,720.0,16892.0,1175.0,-709.0,-263.0,-0.7702017565372801,0.22631124241573755,-0.488591730174998,0.34183416591636284
-2507.486275434494,4904.0,764.0,16700.0,1045.0,-1154.0,-820.0,-0.806204237228025,0.22280205152631616,-0.35924488983155967,0.41392883789505885
-2507.5018701553345,4740.0,136.0,16144.0,1073.0,-1643.0,-917.0,-0.8307810595789096,0.23124499028948323,-0.183556089469936,0.4718429267557859
-2507.5174469947815,4376.0,248.0,15788.0,912.0,-1839.0,-884.0,-0.8266760867542932,0.2501594183013572,0.0053339431426737745,0.5039826009638483
-2507.5330407619476,4132.0,-244.0,15228.0,457.0,-1825.0,-809.0,-0.7877569354693706,0.2922000932178632,0.17219476232039918,0.5142052897168589
-2507.548697948456,4080.0,-292.0,14924.0,-158.0,-1550.0,-767.0,-0.7178923272425008,0.35679098988060426,0.28788251528908543,0.5238840075982414
-2507.564300298691,4204.0,-188.0,14952.0,-675.0,-971.0,-568.0,-0.6423958983542453,0.42626483166545703,0.333262904531468,0.5427353310096106
-2507.5799236297607,4400.0,108.0,14924.0,-1001.0,-611.0,-299.0,-0.5701294113285947,0.4997188376000185,0.32930146626082357,0.5628446339837203
-2507.595507621765,4580.0,628.0,15364.0,-1038.0,-460.0,-240.0,-0.4973718568131635,0.5640569804553259,0.31001157412976355,0.5816818569935223
-2507.611085176468,4456.0,800.0,15756.0,-1562.0,-579.0,-451.0,-0.3777047166320205,0.6417055372639948,0.2748931074417716,0.6082655094279629
-2507.6266639232635,4416.0,552.0,15860.0,-2063.0,-1075.0,-519.0,-0.2044710229117954,0.7384365449411676,0.22501786847539587,0.6018887179134895
-2507.6422395706177,4624.0,-416.0,16480.0,-2625.0,-1650.0,-1182.0,0.05687505307949492,0.8151869634728722,0.1851089056789406,0.545866408528156
-2507.6578271389008,5076.0,-2020.0,17176.0,-2249.0,-2145.0,-1112.0,0.292651307331239,0.8534928759170001,0.14067562369298114,0.40757268305767974
-2507.6734347343445,5168.0,-3016.0,17200.0,-1383.0,-2664.0,-464.0,0.43008307094204146,0.8769138529468661,0.05602411644221778,0.20715198520847858
-2507.6890206336975,5160.0,-3044.0,16716.0,-1017.0,-2612.0,397.0,0.4985817707573347,0.861942539888134,-0.08818740372389439,0.02634876892972446
-2507.7046489715576,4860.0,-2104.0,15816.0,-635.0,-2327.0,666.0,0.5148451990856213,0.8152636918772967,-0.23549717956713134,-0.12173993634388548
-2507.720239639282,4480.0,-1208.0,15220.0,-591.0,-1743.0,770.0,0.5214867250339273,0.7431109961840524,-0.356979039613798,-0.22000820039295044
-2507.735854625702,4796.0,-444.0,14940.0,-413.0,-1371.0,575.0,0.5120616363292121,0.6739122485449409,-0.44473357438649974,-0.29299694482086214
-2507.7514414787292,5272.0,-172.0,15060.0,-355.0,-1194.0,127.0,0.4870320080919608,0.6188208813928937,-0.4935401404831577,-0.36915940943974224
-2507.7670714855194,5872.0,-256.0,15204.0,-420.0,-956.0,-355.0,0.4550815346676293,0.5826851482102224,-0.4991425766676084,-0.4519242226495575
-2507.7826573848724,6140.0,-656.0,15620.0,-589.0,-953.0,-733.0,0.4118851531505647,0.5498084037916098,-0.47323290085692504,-0.5514634722996602
-2507.798246860504,5812.0,-1468.0,15844.0,-521.0,-983.0,-910.0,0.349812668470898,0.5172045583062129,-0.4363636753392307,-0.647855913524746
-2507.813844680786,5504.0,-2160.0,16004.0,-737.0,-1005.0,-785.0,0.29802229805889496,0.4638455642089271,-0.38669876678123866,-0.739252369758303
-2507.8294360637665,5488.0,-2640.0,15792.0,-545.0,-952.0,-397.0,0.26103924052716826,0.3994460608392236,-0.3583018731266759,-0.8024469621719196
-2507.845027446747,5252.0,-2896.0,15772.0,-509.0,-895.0,5.0,0.25018207090607253,0.3235533277852002,-0.3417498800192094,-0.8461259923812338
-2507.860655784607,5000.0,-2612.0,15768.0,42.0,-1002.0,410.0,0.24832457428377921,0.23701744063956376,-0.37651909166642655,-0.8604597679439406
-2507.8762831687927,4908.0,-2284.0,15564.0,101.0,-1030.0,594.0,0.25566578014722424,0.14140518755649498,-0.416325102798423,-0.860995348752655
-2507.8918948173523,4908.0,-1844.0,15560.0,98.0,-897.0,756.0,0.27727517536037083,0.04832013171531664,-0.4504973345276579,-0.8472519068042076
-2507.907485961914,4956.0,-1340.0,15840.0,138.0,-844.0,874.0,0.30646740254103305,-0.04496707732832853,-0.48189076493531857,-0.819656625548988
-2507.9231753349304,4936.0,-1272.0,15772.0,157.0,-1065.0,917.0,0.3254981099714817,-0.1544183680617581,-0.513921825079095,-0.7785180188778604
-2507.9388201236725,5016.0,-1080.0,15752.0,111.0,-1097.0,862.0,0.33395703791881126,-0.2625377665287668,-0.5368463907940852,-0.7289324870397429
-2507.954433441162,4968.0,-1232.0,15544.0,50.0,-873.0,710.0,0.3378193664359954,-0.3481961994636145,-0.5464204487848457,-0.6826874654552003
-2508.0481259822845,4952.0,-1792.0,15932.0,-121.0,-1095.0,-35.0,0.27862139757878684,-0.4134036110059777,-0.5698087104669716,-0.6532883013604553
-2508.0637423992157,5152.0,-1708.0,15796.0,-87.0,-1027.0,5.0,0.22385318290245507,-0.4723896792847221,-0.587172045274395,-0.6180345723808671
-2508.0793538093567,5316.0,-1380.0,15732.0,-82.0,-966.0,95.0,0.1755143982962613,-0.5290313161885687,-0.5954756523086723,-0.5785579573301655
-2508.094940662384,5572.0,-1204.0,15492.0,-194.0,-1073.0,252.0,0.12297785471639505,-0.5964213313099728,-0.5876154397256146,-0.5327908950084128
-2508.110570192337,5416.0,-1428.0,15280.0,-326.0,-1133.0,-72.0,0.044351700354364455,-0.6454724957410065,-0.5852109171020984,-0.4888009476485023
-2508.1261761188507,5544.0,-1688.0,15320.0,-404.0,-1105.0,-224.0,-0.04414263554529806,-0.6790206558250236,-0.5816606914765192,-0.44570530250506035
-2508.141800880432,5664.0,-1860.0,15568.0,-280.0,-899.0,-318.0,-0.11829286572444485,-0.6941488440819242,-0.5839237907947141,-0.4039767155695463
-2508.1573910713196,5744.0,-1916.0,15764.0,-165.0,-782.0,-368.0,-0.1805878050033647,-0.6991917538356911,-0.5905592610308283,-0.3602203426556569
-2508.1730048656464,5760.0,-1888.0,15720.0,-102.0,-798.0,-349.0,-0.23823041213324367,-0.7026197235761913,-0.594307389969856,-0.3104360175684502
-2508.1885948181152,5640.0,-1736.0,15948.0,-151.0,-1023.0,-292.0,-0.3071419503669312,-0.7089329779023029,-0.5842615737944175,-0.2484275921765555
-2508.204197883606,5652.0,-1700.0,15860.0,-207.0,-615.0,-170.0,-0.3544223172716464,-0.7068292110161675,-0.5727982710137869,-0.21605422513266234
-2508.2198305130005,5620.0,-1752.0,15688.0,-283.0,-761.0,-395.0,-0.4161265987866872,-0.6905227273726492,-0.5665060886920694,-0.1705516585638344
-2508.235423564911,5592.0,-1644.0,15556.0,-269.0,-465.0,-494.0,-0.46179802686707244,-0.6618884246424729,-0.5741949028555522,-0.13764631938663388
-2508.251001358032,5512.0,-1600.0,15520.0,-211.0,-555.0,-767.0,-0.5092524968523018,-0.6193730828682091,-0.5914548436498652,-0.08497085730496463
-2508.2665736675262,5540.0,-1800.0,15472.0,-158.0,-483.0,-595.0,-0.5459316694823927,-0.5838313077329169,-0.5995494474945565,-0.04049785643723871
-2508.2822070121765,5556.0,-1844.0,15688.0,-109.0,-341.0,-631.0,-0.5704858237572938,-0.5457008150053092,-0.6138037511780912,0.0012249221229051512
-2508.297800064087,5424.0,-1764.0,15820.0,-92.0,-229.0,-640.0,-0.5860894238222819,-0.5058702254256708,-0.6317229930001128,0.038994389678848614
-2508.313359975815,5516.0,-1660.0,15412.0,-113.0,-174.0,-758.0,-0.5967629812667599,-0.4565958951256547,-0.6550933755247959,0.07903671354212412
-2508.328952550888,5484.0,-1656.0,15428.0,-26.0,-142.0,-425.0,-0.6025976426471977,-0.4295998575518498,-0.6642572615201459,0.10527266494787234
-2508.3445539474487,5532.0,-1660.0,15412.0,-46.0,-177.0,-402.0,-0.610511285185152,-0.40191525677454376,-0.6698966329248266,0.13030195021336585
-2508.360143661499,5416.0,-1852.0,15520.0,-76.0,-68.0,-468.0,-0.6113710176403128,-0.36936934592474496,-0.682907202620934,0.1530670365853639
-2508.375767469406,5896.0,-2000.0,15556.0,244.0,-59.0,-264.0,-0.6032611572404835,-0.3656490229420073,-0.6846112132623465,0.18353270788032833
-2508.391360282898,5780.0,-2016.0,15368.0,75.0,-84.0,-477.0,-0.59776917465075,-0.3394028612526102,-0.693523693939967,0.21564460938026098
-2508.4069514274597,5688.0,-1980.0,15556.0,106.0,-271.0,-443.0,-0.6021205944552803,-0.31264444318098206,-0.6897178272204617,0.25296948569967675
-2508.4225764274597,5688.0,-1984.0,15332.0,123.0,-392.0,-312.0,-0.6149198936692465,-0.29133510766136167,-0.6741672668938291,0.28722095268738645
-2508.4381766319275,5676.0,-2024.0,15232.0,197.0,-472.0,-215.0,-0.6316241423601927,-0.27705504292628985,-0.6485291591634581,0.3220269797572878
-2508.453793525696,5664.0,-1968.0,15304.0,284.0,-422.0,-97.0,-0.6453298963225478,-0.2750298366967546,-0.6189122981515202,0.3533489508059844
-2508.4693551063538,5704.0,-1688.0,15488.0,437.0,-299.0,16.0,-0.6508627625545493,-0.2909237941070064,-0.5874892872337223,0.38288033081872636
-2508.4849333763123,5676.0,-1360.0,15768.0,501.0,-150.0,97.0,-0.6484508635236185,-0.3189459875819768,-0.5590626740408077,0.4064896814129147
-2508.500494480133,5616.0,-1448.0,15708.0,519.0,-125.0,223.0,-0.6472644590402936,-0.35425241555800374,-0.5265972401291232,0.4221957991536461
-2508.5160744190216,5832.0,-1484.0,15552.0,507.0,-179.0,338.0,-0.65134600927918,-0.3911636241212897,-0.48650683594250266,0.4313357090962904
-2508.5316331386566,5608.0,-1748.0,15576.0,261.0,-187.0,496.0,-0.6682388030387628,-0.41938511269613643,-0.4484252547459889,0.4201045349293024
-2508.5472798347473,5540.0,-1888.0,15628.0,504.0,-198.0,668.0,-0.6802013534794892,-0.4662686699106274,-0.39274529046554935,0.40702675956449924
-2508.562870979309,5620.0,-1852.0,15480.0,629.0,-245.0,834.0,-0.6896972762357545,-0.521125538550744,-0.320419852522692,0.38739767466069647
-2508.578476667404,5620.0,-1844.0,15404.0,683.0,-288.0,947.0,-0.6949771528501174,-0.575726921583315,-0.2355372447695055,0.3606486865454165
-2508.5940647125244,5772.0,-1820.0,15544.0,668.0,-221.0,1084.0,-0.6957565322973486,-0.627495595815708,-0.14563642144512615,0.3177454291506266
-2508.609641313553,5884.0,-1780.0,15724.0,667.0,-196.0,1232.0,-0.690735668967744,-0.6730146313491728,-0.04733933117097412,0.2601817236661812
-2508.625237941742,5740.0,-1720.0,15728.0,665.0,-156.0,1421.0,-0.6782915243094427,-0.7086596111045275,0.06012234655477242,0.18468207028268993
-2508.6408562660217,5856.0,-1708.0,15652.0,565.0,-117.0,1420.0,-0.6598376642788354,-0.726208609858504,0.16257636028392375,0.10394344059757686
-2508.6564552783966,5860.0,-1776.0,15504.0,491.0,-63.0,1376.0,-0.6352450099229894,-0.7283912216936819,0.25582617887441517,0.021516777873145865
-2508.6721086502075,5612.0,-1812.0,15856.0,494.0,-117.0,1185.0,-0.5997567266686152,-0.7244473127550864,0.33646675755150696,-0.04751926893858577
-2508.687711238861,5560.0,-1836.0,15612.0,593.0,-214.0,1117.0,-0.5480040862668688,-0.7190076287257164,0.41326199505467553,-0.1092431906915288
-2508.7032895088196,5584.0,-1660.0,15632.0,563.0,-289.0,1002.0,-0.49015716222940875,-0.7087030765756042,0.48202431582555233,-0.15855114165591624
-2508.7188663482666,5548.0,-1492.0,15388.0,528.0,-131.0,810.0,-0.43925910777898425,-0.6964490505760972,0.5285022784679896,-0.20662888916849753
-2508.7344415187836,5536.0,-1352.0,15600.0,535.0,1.0,528.0,-0.3964777755626947,-0.6910520388617801,0.5497111344401009,-0.25113765496717466
-2508.7500126361847,5452.0,-1388.0,15500.0,540.0,-5.0,621.0,-0.3492171038362895,-0.678258995587989,0.5740052820073536,-0.2975400570004402
-2508.7655873298645,5260.0,-1376.0,15560.0,485.0,-141.0,582.0,-0.29770936925913544,-0.6659983986536926,0.5987869889600278,-0.33055923266220905
-2508.7812011241913,5136.0,-1404.0,15424.0,352.0,-211.0,543.0,-0.2501618592446421,-0.6516667190554618,0.6245538279109194,-0.3502599713021331
-2508.79678606987,5544.0,-1600.0,15496.0,313.0,-162.0,487.0,-0.20839741267021078,-0.6359959455774449,0.6453086835201041,-0.3683155964318698
-2508.812378883362,5764.0,-1664.0,15752.0,353.0,-116.0,466.0,-0.1671017335993998,-0.6190292168059989,0.6610163105738774,-0.3897913243312708
-2508.8280067443848,5784.0,-1720.0,15656.0,343.0,19.0,390.0,-0.1362931498457229,-0.600235691521031,0.6694202461720352,-0.4159541151910544
-2508.8435928821564,5764.0,-1636.0,15680.0,350.0,97.0,463.0,-0.10670734601812439,-0.5730378309086877,0.6788842399821038,-0.4464945412400423
-2508.8592138290405,5652.0,-1536.0,15364.0,354.0,66.0,441.0,-0.0756632152854311,-0.5469255116114897,0.6856425171782329,-0.47438581475279934
-2508.874850988388,5444.0,-1620.0,15456.0,272.0,-70.0,352.0,-0.04390686361255962,-0.5301167107147389,0.6910662547732527,-0.4893627405742736
-2508.890439271927,5356.0,-1648.0,15396.0,244.0,-199.0,239.0,-0.010420782251189996,-0.5247974957110064,0.6920049085245172,-0.49558874318400736
