programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-4071.3853652477264,548.0,4064.0,-16352.0,-264.0,219.0,-401.0,0.9989496903825471,-0.02268745203463691,0.019047229863502893,-0.03495709712370153
-4071.400966644287,52.0,3864.0,-16584.0,-35.0,-350.0,148.0,0.9993689033618642,-0.0262199499987447,-0.011011632883133437,-0.021285045374986204
-4071.4165534973145,480.0,4076.0,-15872.0,68.0,-371.0,370.0,0.9987970190501215,-0.020995044087900698,-0.04269195597830974,0.011879383615492782
-4071.432196378708,684.0,4204.0,-15076.0,887.0,-503.0,1077.0,0.9891546767657007,0.05267630847661268,-0.08310261809584438,0.10905130363015147
-4071.4478714466095,436.0,4488.0,-14588.0,-415.0,381.0,-2979.0,0.9881570002906452,0.03396916853915827,-0.039238799026544265,-0.14440275280030768
-4071.463469028473,1100.0,3000.0,-15244.0,-284.0,720.0,-2771.0,0.9277492666748309,0.027457684066874672,0.03341429342609513,-0.37068970685039526
-4071.479108572006,188.0,2324.0,-16336.0,-793.0,705.0,-1808.0,0.8549282319480007,-0.01857307535518446,0.11851722478334785,-0.504684482146786
-4071.494709253311,-1340.0,2320.0,-17088.0,436.0,-880.0,593.0,0.8864272131459704,-0.018427802148953037,0.03474041026023731,-0.4611944446729362
-4071.510312795639,700.0,4944.0,-15888.0,685.0,-1013.0,-559.0,0.8621827824416367,-0.007559807043053657,-0.07174852837658363,-0.5014337918952648
-4071.5259923934937,1016.0,5256.0,-15952.0,-444.0,1202.0,-3571.0,0.6770062383204639,0.032438760094022426,0.03368794634156121,-0.7344898926398005
-4071.5415966510773,-352.0,3716.0,-16588.0,-26.0,133.0,-1889.0,0.5481827627073333,0.033727142744454215,0.04780021375851896,-0.8343100611148655
-4071.5571851730347,368.0,3868.0,-16236.0,451.0,-520.0,-808.0,0.4881195103449913,0.014286830684825454,-0.007679519531748836,-0.8726260682957566
-4071.572786092758,996.0,4464.0,-16376.0,8.0,-56.0,-2077.0,0.32461586722098923,0.011682717641741202,-0.008257976748922374,-0.9457377325013964
