programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-10711.842674255371,1740.0,-76.0,16384.0,89.0,-178.0,448.0,0.9990811753091424,0.007745192089282992,-0.015848540585789203,0.03905945344859984
-10711.858279943466,1684.0,-348.0,16364.0,100.0,-195.0,375.0,0.9967420423791173,0.016461227892192187,-0.033038703297358474,0.07171313000153035
-10711.873860836029,1704.0,-416.0,16432.0,85.0,-188.0,437.0,0.9924559004495174,0.023488778678562073,-0.049643649409500584,0.10961327936173451
-10711.889447450638,1724.0,-420.0,16388.0,56.0,-219.0,388.0,0.9869273736315788,0.028404357672582814,-0.0688592781480914,0.14291938795980694
-10711.905039548874,1788.0,-356.0,16496.0,16.0,-109.0,370.0,0.9810772350629752,0.028603351134067652,-0.07878723690643753,0.17453331614834425
-10711.92071723938,1760.0,-216.0,16484.0,241.0,-96.0,345.0,0.9738973862667534,0.048062312131651026,-0.0839097389579304,0.20536078224275836
-10711.936317682266,1836.0,-200.0,16588.0,-18.0,-55.0,183.0,0.9701793276044504,0.04590358020710159,-0.08948070234696737,0.2205405575413282
-10711.951979398727,1712.0,-184.0,16888.0,-47.0,-136.0,109.0,0.9671176926104251,0.04345449220183795,-0.10209921267745736,0.22884673149951404
-10711.967569828033,1652.0,-344.0,16704.0,-75.0,-19.0,-23.0,0.9676989666508989,0.037505518576103423,-0.10486193178010397,0.2261769689479118
-10711.983176708221,1656.0,-360.0,16612.0,-69.0,-9.0,-126.0,0.970284551137012,0.03282632622390481,-0.10629791927724039,0.2148745552382091
-10711.998809337616,1592.0,-292.0,16360.0,-53.0,8.0,-173.0,0.9736655497820228,0.029636467930862467,-0.10582397111689189,0.19974574857379385
-10712.014435529709,1300.0,-184.0,16340.0,26.0,39.0,-274.0,0.9784798938576942,0.03356433565602223,-0.1010220162932675,0.17676279278244042
-10712.030054807663,1500.0,-176.0,16240.0,-223.0,38.0,-338.0,0.9840919815476742,0.016747582111497936,-0.09988368577138908,0.14596485763262787
-10712.045649528503,1472.0,-256.0,16304.0,44.0,-53.0,-316.0,0.9872310978107314,0.023845974164075412,-0.10306656562064115,0.11909413118517005
-10712.061352014542,1688.0,-356.0,16340.0,48.0,-116.0,-315.0,0.9889642534632745,0.031849488474977976,-0.11157752940284445,0.09211824134267764
-10712.076949596405,1600.0,-440.0,16380.0,-9.0,-133.0,-301.0,0.9897438050145047,0.03488301719993768,-0.1219750725233949,0.06566930203185933
-10712.092543125153,1660.0,-440.0,16536.0,38.0,-202.0,-320.0,0.9888114218984809,0.04253701466146983,-0.13788723866306946,0.03781115867925947
-10712.108128547668,1568.0,-460.0,16544.0,246.0,-203.0,-340.0,0.9858143284016578,0.06830886914525232,-0.15293766614100646,0.010680757905104142
-10712.123739004135,1552.0,-404.0,16384.0,-242.0,-230.0,-357.0,0.9836780829007494,0.05223286286307929,-0.1704228403105727,-0.024601072299998864
-10712.139326334,1584.0,-428.0,16516.0,-8.0,-264.0,-272.0,0.9787292923949578,0.05484953277540771,-0.19145763135385796,-0.04923897195063124
-10712.154927253723,1648.0,-460.0,16440.0,-27.0,-300.0,-290.0,0.9720198390030215,0.05592789408486756,-0.21516923377016647,-0.07583999002196362
-10712.170516490936,1676.0,-460.0,16560.0,10.0,-330.0,-266.0,0.9634283853711932,0.059427411113450415,-0.2415012275863099,-0.09975613336388858
-10712.186094999313,1788.0,-396.0,16684.0,-37.0,-360.0,-333.0,0.9523372061302033,0.06003835456372372,-0.2692131656336137,-0.13028243646373674
-10712.201680898666,1832.0,-280.0,16744.0,-54.0,-284.0,-332.0,0.9415622617927005,0.05998570098104497,-0.28999266812785046,-0.16051939221700673
-10712.217326879501,1840.0,-404.0,16748.0,-28.0,-179.0,-304.0,0.9325615672079083,0.0627540165994943,-0.30232132120616634,-0.1870632927955625
-10712.232912778854,1876.0,-280.0,16896.0,-35.0,-51.0,-308.0,0.9261174241306989,0.06709141030258013,-0.3038486706096875,-0.21326332257060948
-10712.248541116714,1808.0,-284.0,16396.0,-255.0,-3.0,-286.0,0.9217756307898798,0.053889959848378265,-0.29725373734187727,-0.2430345126638305
-10712.26414179802,1724.0,-456.0,16428.0,39.0,77.0,-62.0,0.9223182368489293,0.060184005008332105,-0.2913274631403964,-0.24664805845013302
-10712.279753446579,1832.0,-520.0,16428.0,73.0,39.0,79.0,0.9246644399455268,0.06479340976904235,-0.28990802121949366,-0.23822432030194468
-10712.295331954956,1724.0,-300.0,16356.0,65.0,49.0,161.0,0.9288518280584219,0.06688404646853796,-0.28792670244769236,-0.22329133404169577
-10712.310901880264,1540.0,-540.0,16368.0,36.0,50.0,157.0,0.9329391133093627,0.06672720859469346,-0.2852086755380281,-0.20935162260786044
