programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-10698.531337738037,2180.0,-324.0,16136.0,296.0,-86.0,-324.0,0.9992381226829841,0.02576271693911535,-0.007825363867846479,-0.028252792308669474
-10698.546927213669,2208.0,-256.0,16296.0,301.0,-74.0,-289.0,0.997121775069448,0.05182087575706021,-0.014644013733849383,-0.053369611014954126
-10698.562573671341,2056.0,-300.0,16336.0,244.0,-127.0,-191.0,0.9945568630796076,0.07241094350323508,-0.026152721305344892,-0.07020923394074927
-10698.578167438507,2404.0,-404.0,16132.0,202.0,-140.0,-69.0,0.9923131509169563,0.08893166177804797,-0.03924826615550058,-0.07658553162604441
-10698.593817710876,2464.0,-400.0,16416.0,191.0,-176.0,34.0,0.9902246363959702,0.10384358711639337,-0.05611639765778579,-0.07431439162895537
-10698.609427213669,2408.0,-444.0,16352.0,184.0,-135.0,181.0,0.9887864852589073,0.11762617616791705,-0.07063683831406496,-0.05895596935377603
-10698.625033855438,2392.0,-472.0,16440.0,165.0,-161.0,250.0,0.9869939621998689,0.12912067507086017,-0.08791045363015752,-0.037980547557784815
-10698.640705108643,2332.0,-532.0,16480.0,213.0,-84.0,305.0,0.9844646052567267,0.14445886025447255,-0.09919792051672177,-0.01099323682334918
-10698.65631222725,2088.0,-480.0,16216.0,222.0,-131.0,471.0,0.9799639665834619,0.15885440651208174,-0.11641239797444403,0.029733067913380217
-10698.67197561264,2320.0,-380.0,16468.0,203.0,-114.0,759.0,0.971750940402832,0.16810566686385578,-0.1357550624569784,0.09492711736786129
-10698.687609672546,2220.0,-236.0,16620.0,212.0,-127.0,535.0,0.9614975572728588,0.18028635223660067,-0.1523072660240115,0.14078982659211262
-10698.7032995224,2324.0,-216.0,16316.0,208.0,-99.0,599.0,0.9481302409029417,0.1904327579005778,-0.16710258757723986,0.1919925421173967
-10698.718872308731,2340.0,-164.0,16524.0,226.0,-75.0,547.0,0.9329217198363433,0.20188933004768522,-0.17823896365665626,0.23901597207110906
-10698.734504699707,2380.0,-120.0,16504.0,266.0,-75.0,560.0,0.9141029840366219,0.21583913481192754,-0.18824720022679234,0.2870404049358832
-10698.750138521194,2432.0,-172.0,16288.0,271.0,-10.0,613.0,0.8920251000301599,0.22701477451067475,-0.19333643185439736,0.3396712192515886
-10698.76573228836,2436.0,-112.0,16264.0,315.0,-11.0,621.0,0.8656650700214249,0.24071193677538455,-0.19665806558953103,0.39243770878602985
-10698.78139948845,2504.0,-116.0,16392.0,310.0,87.0,644.0,0.8370088203603256,0.24938053841020763,-0.19248250502858777,0.44741040104044394
-10698.797015190125,2364.0,-240.0,16544.0,328.0,90.0,489.0,0.8112612133292098,0.2610314759404619,-0.18336565871880678,0.4899947423376916
-10698.812653541565,2416.0,80.0,16480.0,349.0,132.0,463.0,0.784635139730422,0.2720928134476223,-0.16928780676076643,0.5307116324827525
-10698.828261375427,2384.0,140.0,16360.0,311.0,116.0,471.0,0.7562578690815799,0.2804697354335161,-0.1578094326105162,0.569655111393893
-10698.843926429749,2384.0,68.0,16604.0,302.0,174.0,376.0,0.7318981662695521,0.2860477726946474,-0.14026942133034184,0.6023505917547933
-10698.859534978867,2368.0,76.0,16524.0,307.0,506.0,335.0,0.7116192913859632,0.2742242911709609,-0.09990345123604497,0.6390761478026314
-10698.875138282776,2208.0,152.0,16420.0,331.0,289.0,286.0,0.6895955969378291,0.2756158604697933,-0.07020048974040809,0.6660072832797412
-10698.890788793564,2152.0,280.0,16416.0,361.0,296.0,196.0,0.6707276441429506,0.2783931047406184,-0.03604478609969695,0.6865293001834326
-10698.906375169754,2096.0,396.0,16524.0,438.0,334.0,124.0,0.6529623265445872,0.2830124888445058,0.006732279052948656,0.7024947029624291
-10698.922494888306,2044.0,332.0,16560.0,519.0,325.0,139.0,0.6305305587292522,0.29203854674223473,0.053513927371458346,0.7171338517337909
-10698.938121795654,1964.0,516.0,16624.0,546.0,270.0,99.0,0.6083237874211141,0.3049548468961436,0.09979353517250451,0.7259379872619665
-10698.953717470169,1980.0,416.0,16412.0,602.0,214.0,102.0,0.5830955981981453,0.3235042825613324,0.14623299591674072,0.7307259496087705
-10698.969308376312,1980.0,356.0,16492.0,611.0,215.0,47.0,0.5592560899126168,0.34073797973178377,0.19437185331138798,0.7303080430231136
-10698.984915018082,1932.0,492.0,16556.0,621.0,7.0,68.0,0.5355931398034712,0.37102863561912264,0.23179223126504064,0.7223227129692418
-10699.000520944595,1840.0,112.0,16500.0,647.0,368.0,89.0,0.5005679932714393,0.3789029349065792,0.2861608025854086,0.7238620345722381
-10699.016133785248,1888.0,-12.0,16744.0,650.0,514.0,167.0,0.45449747478539504,0.37783291177268835,0.343096443293863,0.7300405240766928
-10699.031782627106,1940.0,-116.0,16936.0,607.0,790.0,228.0,0.3947705979528923,0.3568662537414816,0.40385733413066705,0.7441114873466927
-10699.047426700592,1944.0,-168.0,17208.0,750.0,1114.0,241.0,0.31430380603371155,0.3165177314486885,0.4799226066859929,0.7554494918808409
-10699.063060998917,1940.0,-136.0,17172.0,484.0,1401.0,197.0,0.22735198719366315,0.24352801929454568,0.540113397262898,0.7728406665249304
-10699.078648090363,1912.0,-212.0,17184.0,438.0,1536.0,219.0,0.1295920407081721,0.15732980715400488,0.589539321996613,0.7815987606091434
-10699.094283103943,1992.0,-88.0,16936.0,277.0,1604.0,279.0,0.023966014998655808,0.0646975532655204,0.6162404033525739,0.784530191899838
-10699.109935998917,2216.0,-176.0,17104.0,107.0,1672.0,340.0,-0.08888949785382912,-0.030945003385711472,0.618161412753212,0.7803957532686254
-10699.125525712967,1984.0,-392.0,16656.0,-58.0,1706.0,300.0,-0.19929527446482193,-0.12902968809867,0.5948762326815472,0.7679550774334141
-10699.141162872314,1476.0,-316.0,16500.0,-136.0,1617.0,84.0,-0.2875822298147816,-0.2283686187162818,0.552903882995101,0.7479582416480985
-10699.156752347946,1208.0,-308.0,16432.0,-248.0,1615.0,255.0,-0.3831937482214438,-0.311977942338371,0.49598040272658556,0.7140278390437524
-10699.172342538834,1256.0,-108.0,16376.0,-280.0,1577.0,-220.0,-0.4410700075258157,-0.40631000869481054,0.4155483262080353,0.683877923229943
-10699.188003778458,1164.0,152.0,16604.0,-217.0,1470.0,-364.0,-0.4761987696274722,-0.494408054542724,0.3300568185093713,0.6479644310948192
-10699.203604698181,1176.0,356.0,16464.0,-101.0,1524.0,-763.0,-0.4761263474894831,-0.5917311666414443,0.22550495876293272,0.6101683712097894
-10699.219269037247,1144.0,304.0,16408.0,63.0,1554.0,-649.0,-0.46398012546843,-0.6824321670425553,0.12932260976172152,0.5498040043145553
-10699.234877347946,1172.0,160.0,16352.0,189.0,1577.0,-694.0,-0.4323736157192665,-0.7648075409941753,0.032793551370747236,0.4764945588952568
-10699.250479459763,1136.0,-104.0,16256.0,253.0,1419.0,-723.0,-0.3857411354024518,-0.8272245612135203,-0.057939244318351006,0.40440863708796376
-10699.266091823578,1184.0,-12.0,15964.0,289.0,1216.0,-700.0,-0.3314926193540697,-0.8695233179682001,-0.13814968078588236,0.33905236840657643
-10699.281695365906,1036.0,208.0,16004.0,381.0,1082.0,-798.0,-0.26400471734294384,-0.8962745112529038,-0.21713894168474834,0.28256714193810295
-10699.297367572784,1604.0,132.0,16132.0,383.0,1099.0,-862.0,-0.19047157081537888,-0.908620811096236,-0.2980838582715186,0.22197931388286002
-10699.312972307205,1736.0,-100.0,16460.0,404.0,1261.0,-881.0,-0.10753985917898244,-0.9081311123560891,-0.37747787019375934,0.14575156593546568
-10699.328577041626,1552.0,-304.0,16728.0,381.0,1371.0,-867.0,-0.020920873714540707,-0.8912022414202804,-0.4495018573407126,0.057174838676974454
