programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-141.97078442573547,6372.0,11628.0,9872.0,-466.0,-59.0,-1199.0,0.9937557717727167,-0.040124652953120725,-0.005274167130600522,-0.10397913951789674
-141.9785759449005,6448.0,11612.0,9852.0,-435.0,-133.0,-1255.0,0.974211677849971,-0.07767744867502133,-0.017317333517975726,-0.2111348636959585
-141.98635578155518,6556.0,11680.0,10148.0,-385.0,-127.0,-1316.0,0.9404117245496608,-0.10970972870175182,-0.029921830662201783,-0.3204594323897232
-141.99413776397705,6600.0,11556.0,9876.0,-330.0,-156.0,-1381.0,0.8913330516688622,-0.13625007487946234,-0.046570923673716215,-0.4298749320048696
-142.00192165374756,6540.0,11616.0,9804.0,-303.0,-95.0,-1423.0,0.8272871398474213,-0.15611212914317546,-0.0592638268920178,-0.5363886559199128
-142.00969862937927,6632.0,11584.0,9672.0,-278.0,-92.0,-1422.0,0.7504415738503556,-0.1715556945631362,-0.0719374593114523,-0.63421691072359
-142.01748132705688,6584.0,11688.0,9580.0,-1.0,-17.0,-1465.0,0.6637930607942224,-0.16185855127329282,-0.09442156707517486,-0.7240615647113282
-142.02524423599243,6520.0,11664.0,9632.0,-228.0,7.0,-1419.0,0.5664788817572223,-0.1615028848081389,-0.09915586057681462,-0.801989158302659
-142.03303241729736,6440.0,12020.0,9604.0,-159.0,-19.0,-1338.0,0.4671527130504773,-0.15789439063548927,-0.10737992660189004,-0.8633117950418602
-142.04081058502197,6372.0,11752.0,9600.0,-150.0,-23.0,-1253.0,0.3681827598208309,-0.15297880974738284,-0.11390021714098537,-0.9099811424827585
-142.04859924316406,6312.0,12020.0,9600.0,-98.0,15.0,-1181.0,0.27172971146724767,-0.1423778001708464,-0.12107052184289087,-0.94405161652588
-142.0563781261444,6232.0,11816.0,9776.0,-110.0,-24.0,-1158.0,0.17376403739912122,-0.1340215678322149,-0.12663065485685057,-0.9673721909963491
-142.06419491767883,6240.0,11808.0,9652.0,-102.0,15.0,-1081.0,0.08107751657572383,-0.12184081880832177,-0.1301646267239077,-0.9806316439560049
-142.07199716567993,6216.0,11780.0,9788.0,-136.0,-9.0,-1259.0,-0.028061667919585212,-0.10868858821044093,-0.13147803947872425,-0.9849430738480388
-142.07978177070618,6256.0,11828.0,9732.0,-162.0,52.0,-1003.0,-0.11476432354622142,-0.09208636574399957,-0.12697695700429426,-0.9809312430924862
-142.08758401870728,6180.0,11748.0,9848.0,-176.0,81.0,-1043.0,-0.20368235068726395,-0.07170236266997715,-0.12084798353627882,-0.9689004262984245
-142.09536576271057,6140.0,11540.0,9832.0,-216.0,102.0,-1052.0,-0.2915950970579513,-0.0481491068382792,-0.11072418058166578,-0.9488909941173215
-142.10315990447998,6088.0,11784.0,9904.0,-208.0,140.0,-1100.0,-0.38033580259636535,-0.02078059994989914,-0.1014042965970906,-0.919037546872134
-142.110985994339,5996.0,11752.0,9708.0,-218.0,95.0,-1189.0,-0.4725814787894475,0.004300067036985946,-0.08891526076915277,-0.8767795228739149
-142.11878037452698,6012.0,11728.0,9764.0,-159.0,89.0,-1222.0,-0.562048129581912,0.02670230941460728,-0.07965096502148376,-0.8228272057221656
-142.12656211853027,5908.0,11756.0,9924.0,-132.0,94.0,-1147.0,-0.640167818281028,0.04735233281491549,-0.07186588812505162,-0.763399119162638
-142.1343595981598,5896.0,11684.0,9820.0,-67.0,28.0,-995.0,-0.7033313342095998,0.058664455302330325,-0.06470278598890673,-0.7054764811730431
-142.14214086532593,5808.0,11804.0,9684.0,-250.0,-49.0,-914.0,-0.7560114782448233,0.07557628099924138,-0.04155490282461139,-0.6488513393402512
-142.14993047714233,5812.0,11828.0,9832.0,107.0,-100.0,-765.0,-0.7985593411362097,0.06515760729597157,-0.035945272956621435,-0.5972984197598721
-142.15771293640137,5944.0,12000.0,9732.0,184.0,-106.0,-691.0,-0.8343023747994869,0.04855609875984989,-0.03419232474344094,-0.5480992041645374
-142.16553854942322,6040.0,12060.0,9708.0,233.0,-86.0,-648.0,-0.8649578532835599,0.029031101325359698,-0.03628491084686787,-0.49968841535877834
-142.17337679862976,6060.0,12216.0,9820.0,219.0,-25.0,-625.0,-0.8913547050573221,0.013038271930897738,-0.04229756942742289,-0.45114045358154564
-142.18121886253357,6072.0,12104.0,9756.0,253.0,89.0,-732.0,-0.9180060935666057,-0.0007630010266053775,-0.05819535824902703,-0.3922722655022669
-142.1890094280243,6132.0,12284.0,9748.0,144.0,228.0,-861.0,-0.9433902982016577,-0.00044621473156646095,-0.08115045176052986,-0.3216040272298569
-142.19679999351501,6072.0,11972.0,9740.0,157.0,337.0,-840.0,-0.9614912603158873,0.001711644861633502,-0.11289003661110032,-0.25057427290521794
-142.20456266403198,5792.0,11932.0,9904.0,84.0,376.0,-875.0,-0.9735638204532417,0.011160361142218094,-0.14552982676677734,-0.17569861514791515
-142.2123634815216,5588.0,11916.0,9792.0,63.0,379.0,-1012.0,-0.9799931254673746,0.024073119622752027,-0.17679056237901425,-0.08819895692142411
