programtime,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
-79.07921981811523,2248.0,13996.0,9172.0,-447.0,-766.0,-593.0,0.9957030150787478,-0.038516067616694113,-0.06661098172190005,-0.051526647595996136
-79.08700847625732,2368.0,14036.0,9136.0,-566.0,-795.0,-742.0,0.9802680205120048,-0.0861431358077282,-0.1349146289571809,-0.11598280479464629
-79.094797372818,2376.0,14212.0,9208.0,-634.0,-752.0,-918.0,0.9508503030306324,-0.13593293040120824,-0.19840727479407588,-0.19503972151303609
-79.10257458686829,2520.0,14288.0,9212.0,-725.0,-664.0,-1064.0,0.9054590869275461,-0.18718167634211297,-0.2518290250630186,-0.2858128829809825
-79.11035871505737,2552.0,14388.0,9136.0,-805.0,-629.0,-1141.0,0.842546964047523,-0.2389993982041217,-0.29750087645757783,-0.3801146268421442
-79.11813879013062,2456.0,14332.0,9224.0,-816.0,-548.0,-1265.0,0.7619203561614117,-0.2813383845676435,-0.33392178455184324,-0.4783537666178124
-79.12593173980713,2784.0,14264.0,9268.0,-870.0,-467.0,-1318.0,0.6650637208497375,-0.31677479773355394,-0.3574091274092825,-0.5741103468627821
-79.1337206363678,2432.0,14188.0,9192.0,-865.0,-441.0,-1356.0,0.5535649795443927,-0.34293314249098694,-0.3732886250872989,-0.6607709705970038
-79.14150142669678,2516.0,14328.0,9232.0,-854.0,-326.0,-1406.0,0.4316231451499029,-0.3531930290064475,-0.3779171009955484,-0.7390093433829351
-79.14927840232849,2544.0,13956.0,9316.0,-864.0,-179.0,-1460.0,0.30149358876715154,-0.34509255080438145,-0.3699371944053447,-0.8081826646910534
-79.15706658363342,2488.0,13804.0,9256.0,-823.0,-137.0,-1558.0,0.16036904754849474,-0.3220580311014557,-0.35827088575060656,-0.8615116746828905
-79.16484713554382,2492.0,13640.0,9168.0,-853.0,-100.0,-1571.0,0.014826397685980099,-0.28864218097943234,-0.3357386284948,-0.8965185121499303
-79.1726667881012,2440.0,13432.0,9008.0,-823.0,-50.0,-1789.0,-0.1453471990967203,-0.23748605593074318,-0.3120799702863225,-0.9083395054159465
-79.18045115470886,2408.0,13476.0,8988.0,-801.0,-99.0,-1521.0,-0.28212106277877813,-0.19149603554834857,-0.27602380997164144,-0.898636651063475
-79.18830347061157,2352.0,13312.0,8988.0,-788.0,-128.0,-1612.0,-0.4196356124245176,-0.14164802537642507,-0.23540439817806605,-0.8651165002532795
-79.19607400894165,2352.0,13808.0,8924.0,-783.0,-127.0,-1715.0,-0.5538665680913322,-0.08635779077532385,-0.1904975959039525,-0.8059062120854692
-79.20386910438538,2308.0,13660.0,8888.0,-826.0,-177.0,-2012.0,-0.6920479602997522,-0.025235699209461906,-0.13674719650401918,-0.7083311262246305
-79.21164274215698,2180.0,13668.0,9072.0,-823.0,-230.0,-1752.0,-0.7934785379485455,0.030431003791757533,-0.07491886100066326,-0.6032022281868892
-79.21943712234497,2144.0,13648.0,9044.0,-864.0,-322.0,-1782.0,-0.873808712137808,0.08338793587210562,-0.0024956940610633364,-0.47906007791738237
-79.22721600532532,2096.0,13572.0,9104.0,-822.0,-334.0,-1542.0,-0.9213681235169854,0.13057436139675535,0.06765295123895892,-0.35979743648513896
-79.23501062393188,2020.0,13476.0,9040.0,-745.0,-439.0,-1803.0,-0.9525661560568838,0.16328436357419365,0.1446320960897391,-0.2122203848075664
-79.24279379844666,2176.0,13484.0,8996.0,-657.0,-470.0,-1737.0,-0.9562384019099861,0.1844244929675563,0.21756240527465093,-0.06528648342041284
-79.25058555603027,2160.0,13396.0,9112.0,-598.0,-489.0,-1740.0,-0.9344918579133802,0.19554678829371624,0.285842645674957,0.0823432024829742
-79.25834846496582,2248.0,13372.0,9108.0,-765.0,-473.0,-1643.0,-0.886111817958641,0.21719905209993587,0.34240967041430614,0.2244683395218299
-79.26615881919861,2424.0,13464.0,9076.0,-495.0,-501.0,-1610.0,-0.8206364943979385,0.21441573166095176,0.3973376727276762,0.35029189529578747
-79.27398800849915,2476.0,13592.0,9232.0,-480.0,-563.0,-1521.0,-0.737626229457995,0.21072427954901007,0.4466158491379573,0.4604748711090682
-79.28182220458984,2500.0,13632.0,9332.0,-451.0,-597.0,-1474.0,-0.6401594513176503,0.20393823791817453,0.4889694010577819,0.5563398213616468
-79.28962898254395,2536.0,13604.0,9260.0,-403.0,-592.0,-1428.0,-0.5331681104609769,0.19215984617808166,0.5228235771140588,0.636758876434359
-79.29740524291992,2472.0,13444.0,9280.0,-344.0,-670.0,-1393.0,-0.4153869621849383,0.17989862822854294,0.552955328573378,0.6995216650044261
